Date,Open,High,Low,Close,Volume,Adj Close
8/19/2014,585.002622,587.342658,584.002627,586.862643,978600,586.862643
8/18/2014,576.11258,584.512631,576.002598,582.162619,1284100,582.162619
8/15/2014,577.862619,579.382595,570.522603,573.482626,1519100,573.482626
7/18/2014,593.002712,596.802684,582.002635,595.082696,4014100,595.082696
